Ano;Semestre;CNPJ AC;Administradora de consórcio;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de cláusulas referentes à devolução de valores;0;2;0;2;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de obrigações previstas em contratos;0;1;0;1;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Falta de transparência na redação de documentos por parte de administradora de consórcio;1;0;0;1;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;1;0;1;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;1;0;0;1;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relacionadas à liberação do crédito;0;1;0;1;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;3;0;3;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;4;2;0;6;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;1;1;0;2;
2023;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2023;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Irregularidades relacionadas à liberação do crédito;1;0;0;1;
2023;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Não fornecimento, remessa ou divulgação de documentos por parte de administradora de consórcio;1;0;0;1;
2023;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;1;0;0;1;
2023;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Ausência de transparência nas relações contratuais;0;0;6;6;
2023;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Cancelamento de contrato a pedido do cliente não atendido por administradora de consórcio;0;1;0;1;
2023;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Cobrança irregular de tarifa pela emissão de boletos, carnês e assemelhados;0;1;0;1;
2023;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Cobranças Diversas - Consórcio;0;0;1;1;
2023;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de cláusulas referentes à devolução de valores;3;6;0;9;
2023;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de obrigações previstas em contratos;0;6;0;6;
