Ano;Semestre;CNPJ AC;Administradora de consórcio;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Cobrança irregular de tarifa pela emissão de boletos, carnês e assemelhados;0;1;0;1;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Descumprimento de obrigações previstas em contratos;0;2;0;2;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Descumprimento de prazo de resposta a demanda;0;1;0;1;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;4;0;4;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Outras irregularidades;0;24;0;24;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2017;2º;91984633;ACERTE ADMINISTRADORA DE CONSÓRCIOS LTDA.;Recusa ou demora no fornecimento de documentos (exceto demonstrativos obrigatórios);0;0;2;2;
2017;2º;84911098;ADEMILAR ADMINISTRADORA DE CONSORCIOS S.A.;Descumprimento de obrigações previstas em contratos;0;1;0;1;
2017;2º;84911098;ADEMILAR ADMINISTRADORA DE CONSORCIOS S.A.;Prestação inadequada/insuficiente de informação;0;0;1;1;
2017;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Ausência de transparência nas relações contratuais;0;0;1;1;
2017;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;0;0;1;1;
2017;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;1;0;1;
2017;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA;Publicidade enganosa;0;0;1;1;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Ausência de transparência nas relações contratuais;0;0;8;8;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de cláusulas referentes à devolução de valores;1;26;0;27;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de obrigações previstas em contratos;2;8;0;10;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de prazo de resposta a demanda;2;1;0;3;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de prazo para apresentação de resposta conclusiva pela Ouvidoria;0;2;0;2;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Dificuldade na liberação ou substituição de bem;0;0;4;4;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;1;3;0;4;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;0;0;6;6;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relacionadas à liberação do crédito;3;37;0;40;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;1;6;0;7;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Outras irregularidades;1;0;0;1;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Prestação inadequada/insuficiente de informação;0;0;6;6;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Publicidade enganosa;0;0;1;1;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Reclamações relacionadas a assuntos diversos;0;0;19;19;
2017;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Recusa ou demora no fornecimento de documentos (exceto demonstrativos obrigatórios);0;0;18;18;
2017;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Ausência de transparência nas relações contratuais;0;0;1;1;
2017;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Dificuldade na liberação ou substituição de bem;0;0;2;2;
2017;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;1;0;1;
2017;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;0;0;1;1;
2017;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Irregularidades relacionadas à liberação do crédito;0;2;0;2;
2017;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Prestação inadequada/insuficiente de informação;0;0;1;1;
2017;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Ausência de transparência nas relações contratuais;0;0;1;1;
2017;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Descumprimento de cláusulas referentes à devolução de valores;0;2;0;2;
2017;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Descumprimento de obrigações previstas em contratos;0;2;0;2;
2017;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Irregularidades relacionadas à liberação do crédito;0;2;0;2;
2017;2º;03765340;ADMINISTRADORA DE CONSÓRCIO REGIONAL WAY LTDA.;Ausência de transparência nas relações contratuais;0;0;1;1;
2017;2º;03765340;ADMINISTRADORA DE CONSÓRCIO REGIONAL WAY LTDA.;Prestação inadequada/insuficiente de informação;0;0;1;1;
2017;2º;03765340;ADMINISTRADORA DE CONSÓRCIO REGIONAL WAY LTDA.;Publicidade enganosa;0;0;2;2;
2017;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.;Prestação inadequada/insuficiente de informação;0;0;1;1;
2017;2º;94187879;AGIPLAN ADMINISTRADORA DE CONSÓRCIOS LTDA;Ausência de transparência nas relações contratuais;0;0;2;2;
2017;2º;94187879;AGIPLAN ADMINISTRADORA DE CONSÓRCIOS LTDA;Irregularidades relacionadas à liberação do crédito;0;1;0;1;
2017;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
2017;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Descumprimento de obrigações previstas em contratos;0;1;0;1;
2017;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Dificuldade na liberação ou substituição de bem;0;0;1;1;
2017;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;1;0;1;
2017;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;1;0;1;
2017;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;Outras irregularidades;0;2;0;2;
2017;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Dificuldade na liberação ou substituição de bem;0;0;1;1;
2017;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Não fornecimento, remessa ou divulgação de documentos obrigatórios;0;1;0;1;
2017;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;Prestação inadequada/insuficiente de informação;0;0;3;3;
2017;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de prazo de resposta a demanda;0;1;0;1;
2017;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;0;1;0;1;
2017;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relacionadas à liberação do crédito;0;1;0;1;
2017;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;1;0;1;
2017;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;Outras irregularidades;1;0;0;1;
2017;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.;Prestação inadequada/insuficiente de informação;0;0;6;6;
2017;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS;Descumprimento de cláusulas referentes à devolução de valores;0;2;0;2;
2017;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS;Descumprimento de obrigações previstas em contratos;0;1;0;1;
2017;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;1;0;1;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Ausência de transparência nas relações contratuais;0;0;12;12;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Descumprimento de cláusulas referentes à devolução de valores;3;16;0;19;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Descumprimento de obrigações previstas em contratos;4;10;0;14;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Descumprimento de prazo de resposta a demanda;0;1;0;1;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Dificuldade na liberação ou substituição de bem;0;0;8;8;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;1;4;0;5;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;0;0;6;6;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Irregularidades relacionadas à liberação do crédito;3;30;0;33;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Prestação inadequada/insuficiente de informação;0;0;15;15;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Reclamações relacionadas a assuntos diversos;0;0;9;9;
2017;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;Recusa ou demora no fornecimento de documentos (exceto demonstrativos obrigatórios);0;0;15;15;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Ausência de transparência nas relações contratuais;0;0;2;2;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Descumprimento de obrigações previstas em contratos;0;4;0;4;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Dificuldade na liberação ou substituição de bem;0;0;2;2;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;0;0;1;1;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Irregularidades relacionadas à liberação do crédito;0;1;0;1;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Prestação inadequada/insuficiente de informação;0;0;4;4;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Publicidade enganosa;0;0;1;1;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Reclamações relacionadas a assuntos diversos;0;0;5;5;
2017;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA;Recusa ou demora no fornecimento de documentos (exceto demonstrativos obrigatórios);0;0;7;7;
2017;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;Ausência de transparência nas relações contratuais;0;0;2;2;
2017;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;Cobrança irregular de tarifa pela emissão de boletos, carnês e assemelhados;0;6;0;6;
2017;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;Descumprimento de cláusulas referentes à devolução de valores;1;81;0;82;
2017;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;Descumprimento de obrigações previstas em contratos;7;96;0;103;
