Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados
2014;2º;91984633;3 PIRAMIDES ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;1966
2014;2º;84911098;ADEMILAR ADMINISTRADORA DE CONSORCIOS S A; ;0;0;1;1;16625
2014;2º;31728579;ADMINISTRADORA DE CONSORCIO ECONOMICO LTDA; ;1;1;0;2;50
2014;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;1,79;4;55;54;113;2234554
2014;2º;73230674;ADMINISTRADORA DE CONSORCIO RCI BRASIL LTDA; ;0;8;9;17;2533
2014;2º;752386;ADMINISTRADORA DE CONSORCIO SAGA LTDA; ;0;0;2;2;0
2014;2º;91341925;ADMINISTRADORA DE CONSORCIO SPENGLER LTDA; ;1;4;1;6;11004
2014;2º;7808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;0;2;1;3;131047
2014;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S A; ;0;2;9;11;9655
2014;2º;3832228;APEC   ADMINISTRADORA DE CONSORCIOS S A; ;0;0;2;2;749
2014;2º;7270184;ASSOCIACAO ATLETICA DO BANCO DO BRASIL   CE; ;0;1;0;1;350
2014;2º;21275235;ATUAL ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;2;3;915
2014;2º;12908072;AUTO GIRO ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;2;2;603
2014;2º;2010478;BANCORBRAS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;7;9;9530
2014;2º;92692979;BANRISUL S A    ADMINISTRADORA DE CONSORCIOS; ;0;0;1;1;39998
2014;2º;6043050;BB ADMINISTRADORA DE CONSORCIOS S A;5,31;3;41;69;113;564678
2014;2º;14723388;BR CONSORCIOS ADMINISTRADORA DE CONSORCIOS LTDA; ;2;5;20;27;89194
2014;2º;52568821;BRADESCO ADMINISTRADORA DE CONSORCIOS LTDA;2,81;3;87;198;288;1064126
2014;2º;73235962;BREITKOPF ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;5798
2014;2º;6046109;BRISA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;0;2;4073
2014;2º;5349595;CAIXA CONSORCIOS S A ADMINISTRADORA DE CONSORCIOS;103,94;15;103;135;253;144308
2014;2º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S A; ;0;3;8;11;33518
2014;2º;59129403;CNF   ADMINISTRADORA DE CONSORCIOS NACIONAL LTDA; ;0;7;26;33;30637
2014;2º;62798475;CNK ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;3;4;5203
2014;2º;44474674;COMAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;5676
2014;2º;50647296;CONPROF ADMINISTRADORA DE CONSORCIO LTDA; ;2;2;0;4;0
2014;2º;81742223;CONSEG ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;8;9;21956
2014;2º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;6709
2014;2º;47658539;CONSORCIO NACIONAL VOLKSWAGEN   ADMINISTRADORA DE CONSORCIO LTDA; ;0;42;117;159;295903
2014;2º;27440684;CONTAUTO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;2;2;2245
2014;2º;58919903;CONVEF ADMINISTRADORA DE CONSORCIOS LTDA;210,4;3;9;8;20;14258
2014;2º;59395061;DISAL ADMINISTRADORA DE CONSORCIOS LTDA; ;1;51;33;85;193550
2014;2º;58113812;EMBRACON ADMINISTRADORA DE CONSORCIO LTDA; ;0;43;100;143;142123
2014;2º;91107581;FARROUPILHA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;1;2;47160
2014;2º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;2;2;7385
2014;2º;4751943;FRANCAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;2;2;1879
2014;2º;643742;FUNDACAO HABITACIONAL DO EXERCITO   FHE; ;0;1;1;2;16250
2014;2º;85322204;GLOBO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;3;3;6281
2014;2º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA; ;1;29;56;86;104575
2014;2º;2798858;GOVESA ADMINISTRADORA DE CONSORCIOS LTDA; ;1;2;3;6;8283
2014;2º;26253658;GUARAPIRANGA VEICULOS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;4194
2014;2º;3586655;H  ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;4;6;2597
2014;2º;73516106;HS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;4;1;5;34395
2014;2º;60241809;HSBC  BRASIL  ADMINISTRADORA DE CONSORCIO LTDA; ;0;14;17;31;49413
2014;2º;776;ITAU ADMINISTRADORA DE CONSORCIOS LTDA;1.081,82;310;490;291;1091;286554
2014;2º;42421776;ITAU UNIBANCO VEICULOS ADMINISTRADORA DE CONSORCIOS LTDA;218,07;25;90;75;190;114641
2014;2º;6181431;ITAUNA ADMINISTRADORA DE CONSORCIO LTDA; ;0;5;4;9;5016
2014;2º;37137767;JORLAN ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;2;3;1922
2014;2º;60250776;LUIZA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;7;4;11;71544
2014;2º;4250224;MAGGI ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;0;2;16887
2014;2º;17249375;MAPFRE ADMINISTRADORA DE CONSORCIOS S A; ;2;4;7;13;1698
2014;2º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSORCIOS LTDA; ;2;4;1;7;21665
2014;2º;76853043;MENEGALLI ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;6368
2014;2º;46349106;MERCABENCO MERCANTIL E ADMINISTRADORA DE BENS E CONSORCIOS LTDA; ;0;4;3;7; 
2014;2º;71045363;MINASMAQUINAS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;5931
2014;2º;5126027;MOTOASA ADMINISTRADORA DE CONSORCIOS LTDA.; ;1;0;0;1;13369
2014;2º;4124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA; ;0;8;5;13;9142
2014;2º;5652765;NANUQUE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;25278
2014;2º;33636838;NASA ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;3252
2014;2º;50533876;PANAMERICANO ADMINISTRADORA DE CONSORCIO LTDA; ;0;7;21;28;5669
2014;2º;16551061;PONTA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;14;15;19768
2014;2º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;28;31;117222
2014;2º;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;1;1;2;4;13493
2014;2º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSORCIO LTDA; ;0;3;8;11;25165
2014;2º;91108027;RANDON ADMINISTRADORA DE CONSORCIOS LTDA; ;0;8;2;10;49182
2014;2º;66228966;REALIZA ADMINISTRADORA DE CONSORCIOS LTDA; ;1;5;28;34; 
2014;2º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA; ;1;6;6;13;58284
2014;2º;62246228;REDENCAO ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;0
2014;2º;62354055;REMAZA ADMINISTRADORA DE CONSORCIO LTDA; ;0;3;24;27;24440
2014;2º;15583743;REVAISA ADMINISTRADORA DE CONSORCIOS S C LTDA   IMPEDIDA CRIAR NOVOS GRUPOS; ;0;0;2;2; 
2014;2º;80402746;RIVEL ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;5279
2014;2º;51855716;RODOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;2;17;60;79;104804
2014;2º;46709622;SANTA EMILIA ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;0
2014;2º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSORCIO LTDA; ;0;16;20;36;14620
2014;2º;96479258;SCANIA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;1;2;25965
2014;2º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;2;3;54410
2014;2º;87945218;SIMPALA LANCADORA E ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;4975
2014;2º;87852273;SINOSSERRA ADMINISTRADORA DE CONSORCIOS S A; ;1;2;1;4;6130
2014;2º;87636643;SOCIEDADE ADMINISTRADORA DE CONSORCIOS LTDA; ;1;0;1;2;1174
2014;2º;87636635;SPONCHIADO ADMINISTRADORA DE CONSORCIOS LTDA; ;1;3;5;9;7707
2014;2º;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSORCIO LTDA;221,29;5;3;5;13;22594
2014;2º;5551841;TAGIDE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;3226
2014;2º;53211488;TARRAF ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;14561
2014;2º;59956185;TRADICAO ADMINISTRADORA DE CONSORCIO LTDA; ;0;6;1;7;11742
2014;2º;78199262;TRIANGULO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;8755
2014;2º;19223411;UNIAO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;0
2014;2º;83553883;UNIAO CATARINENSE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;3;0;3;7586
2014;2º;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA; ;0;10;12;22;8251
2014;2º;81269516;UNILANCE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;5;21;26;16266
2014;2º;56360266;VALTRA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;0;2;12388
2014;2º;94187879;VIA CERTA ADMINISTRADORA DE CONSORCIOS S A; ;0;1;0;1;8099
2014;2º;47458153;YAMAHA ADMINISTRADORA DE CONSORCIO LTDA; ;0;9;13;22;164942
2014;2º;23367634;ZEMA ADMINISTRADORA DE CONSORCIO LTDA; ;0;6;8;14;5985
