Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2023;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.; ;4;7;1;12;202712;
2023;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;2;0;2;4;60957;
2023;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;31,06;61;37;9;107;1963656;
2023;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA; ;2;2;0;4;325652;
2023;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;306,13;8;13;0;21;26132;
2023;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;1;0;0;1;4196;
2023;2º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA; ;1;3;1;5;44109;
2023;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;5;4;1;10;7930;
2023;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;223,97;11;10;0;21;49112;
2023;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;152,81;7;7;0;14;45806;
2023;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;2;5;0;7;20609;
2023;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;2;5;0;7;83165;
2023;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;72,58;132;79;12;223;1818627;
2023;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;3;5;0;8;73574;
2023;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;212,97;325;297;39;661;1525996;
2023;2º;03762395;BRENNER ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;3926;
2023;2º;45713971;BRQUALY ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;2;1;4;4997;
2023;2º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A; ;1;8;2;11;73390;
2023;2º;00266031;CICAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;0;0;1;1692;
2023;2º;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.; ;1;3;0;4;6842;
2023;2º;62798475;CNK ADMINISTRADORA DE CONSÓRCIO LTDA.;468,34;6;7;3;16;12811;
2023;2º;05349595;CNP CONSÓRCIO S.A. ADMINISTRADORA DE CONSÓRCIOS;726,87;91;77;9;177;125193;
2023;2º;27268770;COIMEX ADMINISTRADORA DE CONSÓRCIOS S.A.; ;3;11;0;14;31789;
2023;2º;07336852;CONBRAV - ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;5193;
2023;2º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.; ;5;5;0;10; ;
2023;2º;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.;1.245,05;74;118;25;217;59435;
2023;2º;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;4;1;5;12441;
2023;2º;61550836;COOPERATIVA MISTA ROMA;2.943,34;32;21;0;53;10872;
2023;2º;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA;208,77;30;35;1;66;143696;
2023;2º;01659838;DISBRAVE ADMINISTRADORA DE CONSORCIOS LTDA.; ;5;12;0;17;23186;
2023;2º;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO LTDA;526,96;98;122;8;228;185969;
2023;2º;42735881;EVOY ADMINISTRADORA DE CONSORCIO LTDA.; ;0;2;0;2;4980;
2023;2º;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;3;3;0;6;52506;
2023;2º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;1;2;0;3;4854;
2023;2º;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE; ;0;1;0;1;27043;
2023;2º;94187879;GGS ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;1;0;3;614;
2023;2º;85322204;GLOBO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;4349;
2023;2º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA;351,29;38;25;4;67;108172;
2023;2º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;1;0;1;2055;
2023;2º;73516106;HS ADMINISTRADORA DE CONSÓRCIOS LTDA;39,65;10;16;2;28;252195;
2023;2º;00000776;ITAÚ ADMINISTRADORA DE CONSÓRCIOS LTDA.;181,07;105;83;11;199;579878;
2023;2º;41629070;KLUBI ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;0;2;3;5865;
2023;2º;60250776;LUIZA ADMINISTRADORA DE CONSÓRCIOS LTDA;72,07;7;14;0;21;97127;
2023;2º;04250224;MAGGI ADMINISTRADORA DE CONSÓRCIOS LTDA; ;3;1;0;4;34997;
2023;2º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;0;0;1;24500;
2023;2º;46349106;MERCABENCO ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;0;1;13156;
2023;2º;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA.;666,66;20;21;3;44;30000;
2023;2º;50533876;PAN ADMINISTRADORA DE CONSORCIO LTDA; ;1;1;0;2;0;
2023;2º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSÓRCIOS LTDA;468,75;149;85;18;252;317864;
2023;2º;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;2;1;0;3;13963;
2023;2º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;2;1;3;26922;
2023;2º;09111444;PROMOVE ADMINISTRADORA DE CONSÓRCIO LTDA.;1.669,17;10;8;0;18;5991;
2023;2º;91108027;RANDON ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;3;0;4;91002;
2023;2º;06181431;RCN ADMINISTRADORA DE CONSORCIO NACIONAL LTDA;898,10;11;6;0;17;12248;
2023;2º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA; ;5;1;0;6;24662;
2023;2º;62354055;REMAZA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;13;0;14;15542;
2023;2º;28904092;RESERVA ADMINISTRADORA DE CONSÓRCIO LTDA;6.168,75;28;15;0;43;4539;
2023;2º;80402746;RIVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;5423;
2023;2º;51855716;RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.;225,53;21;39;5;65;93112;
2023;2º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSÓRCIO LTDA.;207,47;75;70;9;154;361487;
2023;2º;96479258;SCANIA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;19017;
2023;2º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA; ;1;2;0;3;70997;
2023;2º;16551061;SICOOB ADMINISTRADORA DE CONSÓRCIOS LTDA.;48,52;17;40;6;63;350312;
2023;2º;87945218;SIMPALA LANÇADORA E ADMINISTRADORA DE CONSÓRCIOS LTDA.;1.740,35;37;12;4;53;21260;
2023;2º;87852273;SINOSSERRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;4238;
2023;2º;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;3658;
2023;2º;43707203;TOYOTA ADMINISTRADORA DE CONSÓRCIOS DO BRASIL LTDA.; ;0;1;0;1;7406;
2023;2º;59956185;TRADIÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;3;1;1;5;14587;
2023;2º;78199262;TRIÂNGULO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;7399;
2023;2º;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA; ;3;11;0;14;27110;
2023;2º;56360266;VALTRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;0;0;1;18465;
2023;2º;22245020;VIVIANI ADMINISTRADORA DE CONSÓRCIO NACIONAL LTDA.; ;1;0;0;1;995;
2023;2º;50827237;VKN ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;1976;
2023;2º;74118381;VOLVO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;2;1;3;12988;
2023;2º;40011095;XS5 ADMINISTRADORA DE CONSÓRCIOS S.A.;128,88;15;14;0;29;116382;
2023;2º;47458153;YAMAHA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;5;9;0;14;130687;
2023;2º;23367634;ZEMA ADMINISTRADORA DE CONSÓRCIO LTDA;752,24;14;11;2;27;18611;
